Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,711.9000244140625,730.9000244140625,707.75,726.9000244140625,723.74658203125,11312955
2022-01-06,719.9500122070312,733.5,719.0,730.2999877929688,727.1318359375,7955578
2022-01-07,734.0,740.9000244140625,725.25,730.5999755859375,727.4304809570312,10454143
2022-01-10,733.6500244140625,744.0,733.2000122070312,742.7999877929688,739.5775756835938,9595787
2022-01-11,742.9000244140625,747.0499877929688,737.2999877929688,743.25,740.025634765625,7252279
2022-01-12,749.6500244140625,751.4500122070312,743.1500244140625,746.8499755859375,743.6099853515625,5294563
2022-01-13,749.0,749.0,737.0499877929688,740.7000122070312,737.4867553710938,5196538
2022-01-14,734.7999877929688,735.9500122070312,716.0499877929688,721.7000122070312,718.5691528320312,16302342
2022-01-17,719.0,720.5999755859375,709.5,712.6500244140625,709.5584106445312,19680557
2022-01-18,717.5,735.9000244140625,714.25,725.2000122070312,722.053955078125,24055886
2022-01-19,725.2000122070312,731.9500122070312,718.7000122070312,729.5999755859375,726.4348754882812,7746270
2022-01-20,731.0499877929688,737.1500244140625,722.1500244140625,728.9000244140625,725.7379150390625,8505400
2022-01-21,722.0,725.25,708.0499877929688,712.5,709.4090576171875,10689060
2022-01-24,715.0,716.4000244140625,688.2000122070312,704.5999755859375,701.5432739257812,8812501
2022-01-25,714.0,755.0,708.5999755859375,752.2000122070312,748.9368286132812,38088158
2022-01-27,744.0,777.0,738.0999755859375,773.8499755859375,770.4928588867188,34927774
2022-01-28,778.0999755859375,784.7000122070312,761.5,764.7000122070312,761.3826293945312,17765524
2022-01-31,775.4500122070312,777.7999877929688,762.3499755859375,773.0499877929688,769.6963500976562,12319200
2022-02-01,778.0999755859375,793.9000244140625,769.0999755859375,781.9000244140625,778.5079956054688,15457534
2022-02-02,790.0,805.9000244140625,787.3499755859375,804.0999755859375,800.6116943359375,13478899
2022-02-03,802.2000122070312,811.9000244140625,793.0499877929688,799.5499877929688,796.0813598632812,10802708
2022-02-04,796.9500122070312,804.5,791.1500244140625,798.5499877929688,795.0857543945312,10776387
2022-02-07,802.5,803.5999755859375,784.0999755859375,789.5999755859375,786.174560546875,10939179
2022-02-08,794.0,801.0,776.1500244140625,798.5499877929688,795.0857543945312,12300670
2022-02-09,801.0,809.5,800.1500244140625,803.8499755859375,800.3627319335938,9399830
2022-02-10,807.5499877929688,815.9500122070312,803.0999755859375,809.7999877929688,806.2869873046875,12848281
2022-02-11,800.9500122070312,809.9000244140625,798.5,803.7999877929688,800.31298828125,9717894
2022-02-14,790.0,803.0,769.9500122070312,773.3499755859375,769.9950561523438,8617389
2022-02-15,777.0,799.0999755859375,764.2999877929688,796.9500122070312,793.4927368164062,7426563
2022-02-16,795.0,808.2999877929688,789.2999877929688,797.0499877929688,793.5922241210938,7457765
2022-02-17,797.0,802.0,780.5,782.7999877929688,779.404052734375,6516308
2022-02-18,781.1500244140625,790.5499877929688,779.0,787.4000244140625,783.9841918945312,5466662
